VI. Izmjene i dopune Prostornog plana Virovitičko-podravske županije	Nadležno tijelo je Virovitičko-podravska županija	http://www.vpz.hr/strateska-procjena-utjecaja-na-okolis/
Strategija razvoja urbane aglomeracije Zagreb do 2020. godine	Nadležno tijelo je Grad Zagreb 	http://www.zagreb.hr/default.aspx?id=98037
Prostorni plan Parka prirode Papuk	Nadležno tijelo je Ministarstvo graditeljstva i prostornoga uređenja	http://www.mgipu.hr/default.aspx?id=44402
I. Izmjene i dopune Prostornog plana Primorsko-goranske županije	Nadležno tijelo je Primorsko-goranska županija	http://www.pgz.hr/zupanijski_ustroj/upravna_tijela/upravni_odjel_za_graditeljstvo_i_zastitu_okolisa/strateska_procjena_utjecaja_na_okolis
Razvojna strategija Sisačko-moslavačke županije 2017.-2020.	Nadležno tijelo je Sisačko-moslavačka županija	http://www.smz.hr/site/index.php?start=36
Razvojna strategija Zagrebačke županije do 2020.	Nadležno tijelo je Zagrebačka županija	https://www.zagrebacka-zupanija.hr/ustrojstvo/upravni-odjel-za-gospodarstvo/procjena-utjecaja-na-okolis-zrs-zagrebacke-zupanije-do-2020-godine/
Nacionalni plan razvoja luka otvorenih za javni promet od županijskog i lokalnog značaja	Nadležno tijelo je Ministarstvo pomorstva, prometa i infrastrukture	http://www.mppi.hr/default.aspx?id=29455
Razvojna strategija Međimurske županije do 2020.	Nadležno tijelo je Međimurska županija	http://medjimurska-zupanija.hr/2016/09/01/strateska-procjena-utjecaja-na-okolis-razvojne-strategije-medimurske-zupanije-do-2020-obavijest-o-odrzavanju-javne-rasprave/
Nacionalni plan razvoja luka od osobitoga (međunarodnoga) gospodarskog interesa za Republiku Hrvatsku	Nadležno tijelo je Ministarstvo pomorstva, prometa i infrastrukture	http://www.mppi.hr/default.aspx?id=29453
Razvojna strategija Varaždinske županije do 2020.	Nadležno tijelo je Varaždinska županija	http://www.varazdinska-zupanija.hr/zupanijska-tijela/upravna-tijela/upravni-odjel-za-gospodarstvo,-regionalni-razvoj-i-europske-integracije/dokumenti/
Razvojna strategija Koprivničko-križevačke županije za razdoblje 2014.-2020.	Nadležno tijelo je Koprivničko-križevačka županija	http://kckzz.hr/category/prostorno-uredenje-i-zastita-okolisa/odsjek-za-zastitu-okolisa-i-prirode/spuo/
Masterplan razvoja turizma Šibensko-kninske županije	Nadležno tijelo je Šibensko-kninska županija 	http://sibensko-kninska-zupanija.hr/stranica/-master-plan-turizma-ibensko-kninske-upanije/214
Razvojna strategija Grada Zagreba za razdoblje do 2020. godine	Nadležno tijelo je Grad Zagreb 	http://www.zagreb.hr/default.aspx?id=94199
Šumskogospodarska osnova područja Republike Hrvatske za razdoblje 2016.-2025.	Nadležno tijelo je Ministarstvo poljoprivrede	http://www.mps.hr/default.aspx?id=8451
Masterplan razvoja turizma Osječko-baranjske županije	Nadležno tijelo je Osječko-baranjska županija 	http://www.obz.hr/hr/index.php?tekst=1742
Masterplan razvoja prometne infrastrukture na relaciji autoceste Zagreb-Karlovac	Nadležno tijelo je Ministarstvo pomorstva, prometa i infrastrukture	http://www.mppi.hr/default.aspx?id=22877
Masterplan razvoja turizma Krapinsko-zagorske županije za razdoblje 2016.-2025.	Nadležno tijelo je Krapinsko-zagorska županija	http://www.kzz.hr/masterplan-razvoja-turizma-studija-okolis
